name,price,url,destination,duration,aHref,hrefTags,hotel,flight,category,caption
National Memorial Chhorten རྒྱལ་ཡོངས་རྗེས་དྲན་མཆོད་རྟེན།,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJZ61SjfVqtatVpZ47vWLVJ1-h1MLhgXxlFdu098acmahQy1lsqtLFvYm1HnwMGOeSOs8EBbMFPETDV9zpXljBv37SQlsD6n3g0ebw4hg40wU7oBiAtDslR2TmGbFKckOR4mtJ4lCks3k_051iU0HgLnkKCHNN9j3xIhGSwg-a4D9y7a&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,National Memorial Chhorten རྒྱལ་ཡོངས་རྗེས་དྲན་མཆོད་རྟེན། tourist attraction place of worship point of interest establishment
Paro Taktsang,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJbf-scRnfX2UuSn2FZX-JpmfXMpABtSyOy_RN8rmODyf8qHkJ7Cg130YHUJMNQAgJSGmN4LrR0kdtaff5iE2DANEPxsHGrGyIARqoHEeHU5J0SpKb9qXouwhCddeECB_2xx_V9ZeMdPe31TVf_tJJa26eRvLU6r-cxIDlIhRnABBDZL&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Paro Taktsang tourist attraction place of worship point of interest establishment
MHPA View Point,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJZeTdWTvtWIz8ip6YpnXTb1UFqaQHaQW6rLyzDOzRz8sG-ymYBqSoThxlycNBnUcGFmM6MmekEuvQf4MbNJdQv4lPieLoJ5s-VYhrFTEJFY1I3ymJKpdEUDzNIPul96KQFQH9MkmjscdSrUH9Sbu-uYSClUienP1qFvvRrC_e-Dyxmf&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,MHPA View Point tourist attraction point of interest establishment
Tongphu Te ( bird eye view of Trongsa Town),,,,,,,,,,Tongphu Te ( bird eye view of Trongsa Town) tourist attraction point of interest establishment
Sangaygang View Point,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJa74GTzbqM0aZnO0SzcK_XuAOVnR7_kgilAQghNhYwIi9vwpwOReh90N1pNG_DqW6bIflPc2-ChXh9uWWHBHUHs-jD7tzP59mHYenTpQ8AycZw3YwKNyf3dDYQ6THLZDrhZ8Nnd7p3bFssCO2J1N3Q0Y524lpBpSfItFE8r8K6fZDPl&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Sangaygang View Point tourist attraction park point of interest establishment
Trongsa Dzong View Point,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJaIsgRj1i6Uzhq_que8fYN1nqIVPsiZHbTf7VsN8YPz9s8VsM6wMksa0wqy1C-40l7sQZ7GEfx_W-BR2d1pWyylvtsMwXI9xtX6Y2jQAGlTFaq3mtmN41AGJ3758IPbRjE896cKE4RlZCGXIcGo39OeaRt94PJj1SkhGgYQmUxmngL5&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Trongsa Dzong View Point tourist attraction point of interest establishment
Jigme Singye Wangchuck National Park,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJYVVgSQV6wL_sT7ASfJmK7YZiWQ2Q34AAlLupssp77ZbGOxz9GMKSOO9HQtyC_DiKepZ21v7aW3mw6ORa5J0e6QYHayetbgvRwA-P6bGtd68TI1TGZsCiZNCNaW1EDYiJwj87ZWxtqtKY9waxeIKGxq3izdqt7QTsIT9MH9KoKrwDLQ&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Jigme Singye Wangchuck National Park tourist attraction park point of interest establishment
Jayanti Riverbed,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJYxj3olFoSxutOgDVXRFWO7lVu97_v8yVIBQTDYslmpg0Ib1sLFqn_6ag3grp4rwmlvBnF3pwM7rbI_Wf_YcPv8oVHHeLenebaWjRIxQDgSTXqSa13NMp55o2f_AB2exhwmo4DINTuD6OS6k-wKthp7W-q27YGOMSP4CGQpT2Qc6oUZ&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Jayanti Riverbed tourist attraction point of interest establishment
Taa-Dzong བལྟ་རྫོང་།,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJZ7dtoHfou3U2ItZboO5bDvqBljltzKSDJUMFYrVbXkHUyqYTGHdiFRzgXEgFuENsjYhmoNH8-BXQzM-LktVif4c3bbkcZtQXzoGMUA7JbGBaRV9H1frlPFV7Um6AOiZnIWEwGsj97PWElFF1e-eq9LQSlDo55araIxaP8qteXMS6rW&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Taa-Dzong བལྟ་རྫོང་། museum tourist attraction point of interest establishment
Bazam,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJZIxG5nnZq2D2KDaOO5V0fMxo8PLzuD5puwVpIE_vRTltiFI3ph42GFIxjQ1psJk28wLmaEZbN6DgTIv5XGd3oc64jhLt3E8tcHShErlu8Mg0SVBCs7sHB-iaGCUVBQaSkfu5CTJq-urRlub8EFdjoYfUtxkKETdD5Xq0o_in5Z2W2y&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Bazam tourist attraction point of interest establishment
